unique_id,validity_posterior,validity_action,conformal_set,conformal_decision
b8a5401f-42f1-422a-8cd9-686a15b4cb76,0.4475803855055618,quarantine-or-verify,"{stale, uncertain}",low-confidence
06d5fb63-b2f1-4001-9c7c-a9fea7241dc3,0.991752375419483,auto-accept,{valid},auto-accept
29b6dbe0-f471-4650-a488-10906b6ac873,0.991752375419483,auto-accept,{valid},auto-accept
3ac5ae50-9ce2-4de3-a13c-d95a4ef218ee,0.991752375419483,auto-accept,{valid},auto-accept
59b6c976-2d44-4705-bcff-a83605983487,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
77a4e680-bf90-4cd0-b4b5-32bcdd7cf61c,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
88c2565a-8801-4899-9745-6070316eb745,0.991752375419483,auto-accept,{valid},auto-accept
8b4d0b3f-896c-4010-8b7e-b5ebd781fb29,0.991752375419483,auto-accept,{valid},auto-accept
d9bc3999-4523-4969-aac0-abd6bc415f2e,0.7924156374420714,merge-or-review,"{valid, stale, uncertain}",low-confidence
e0fcd8ad-b818-4cef-975d-afdfd2e6d413,0.9543291426435438,auto-accept,"{valid, uncertain}",review
ec1297c6-8d79-4944-bbd2-7e319f7a86f6,0.9543291426435438,auto-accept,"{valid, uncertain}",review
f21d47b5-8c40-4c01-9200-fab7ca94f46e,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
02d77467-9415-4e72-98c5-118761328c89,0.991752375419483,auto-accept,{valid},auto-accept
09571e22-74ba-492d-a6b9-f1a9783af3ab,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
0be8a076-706a-439f-b2cd-6a29d85cb41d,0.9543291426435438,auto-accept,"{valid, uncertain}",review
0ee2ea22-f606-4d4a-8117-b9964805730c,0.9268682095991725,auto-accept,"{valid, uncertain}",review
122b19ff-fc09-4fd1-8e41-2f5fe28a27db,0.991752375419483,auto-accept,{valid},auto-accept
137fed76-fec1-4973-9b8c-7d2795862240,0.9543291426435438,auto-accept,"{valid, uncertain}",review
1a62801f-4ddb-43e0-81cc-182cb1311171,0.991752375419483,auto-accept,{valid},auto-accept
1de1dfc6-9c67-4df3-9a92-4ee1111f4895,0.991752375419483,auto-accept,{valid},auto-accept
1df3d3c4-c4d3-446d-a687-9d5841a57d84,0.9543291426435438,auto-accept,"{valid, uncertain}",review
229a9ce3-67a2-417c-a610-c02b5d869438,0.3406381339361985,quarantine-or-verify,"{stale, uncertain}",low-confidence
279fa2c2-e4ef-4a9a-9285-888887133057,0.9543291426435438,auto-accept,"{valid, uncertain}",review
293fab7f-bc5a-4981-8e01-3706543218cc,0.991752375419483,auto-accept,{valid},auto-accept
30ed41d1-ce7e-4936-9569-cb59d2990443,0.991752375419483,auto-accept,{valid},auto-accept
31e8a095-2ba7-4ad2-8df1-44c6b2b26c5e,0.8628952680684165,auto-accept,"{valid, stale, uncertain}",low-confidence
33af2594-ec2f-4268-a1a6-9cb47b04d798,0.991752375419483,auto-accept,{valid},auto-accept
33f3fa89-8e8d-460e-a147-47fabb4d8902,0.9864743337743945,auto-accept,{valid},auto-accept
34aea2cc-26a4-4edb-a623-80e372ae0ae7,0.9268682095991725,auto-accept,"{valid, uncertain}",review
39b355c6-648e-4a9b-849a-e82467708616,0.9268682095991725,auto-accept,"{valid, uncertain}",review
39c6f2b8-806a-499c-9fac-a918e52cd191,0.6432614808918797,merge-or-review,"{stale, uncertain}",low-confidence
3d88594f-a099-4ff9-8188-fac914764015,0.991752375419483,auto-accept,{valid},auto-accept
3d9d4079-9a80-4546-b244-03b1e7ca9f95,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
3ef783e8-3f3d-416a-bf7b-4bd9781e9286,0.991752375419483,auto-accept,{valid},auto-accept
427cf36b-ab8f-4d71-bd39-a30623946638,0.991752375419483,auto-accept,{valid},auto-accept
436c7e0a-fd63-4414-9a28-c39ff09d4775,0.991752375419483,auto-accept,{valid},auto-accept
4616c935-ae1b-4d40-ae5a-3d6c31a90206,0.9268682095991725,auto-accept,"{valid, uncertain}",review
46cc0e3b-f699-4faf-ac99-2f06b014b106,0.991752375419483,auto-accept,{valid},auto-accept
478bb7fc-0309-444a-8bfd-452b4c44bf0f,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
49e0f69c-96c3-448a-af00-81dc0229035f,0.9268682095991725,auto-accept,"{valid, uncertain}",review
4a235f61-c369-4ff8-823d-732585cb9cc1,0.9543291426435438,auto-accept,"{valid, uncertain}",review
4f1b6e2b-804d-4883-be04-e5ccd2a3c46b,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
51179ca4-f342-4014-92d7-c2d2ef1adbb1,0.4724150943513041,quarantine-or-verify,"{stale, uncertain}",low-confidence
513d7280-b39e-45a9-b5c6-fc61ae0f7538,0.9268682095991725,auto-accept,"{valid, uncertain}",review
54302144-0ee3-4a36-8c92-fc647a6cdd8f,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
61c0dd8a-2353-48f5-b1b2-50d87bbf2d20,0.991752375419483,auto-accept,{valid},auto-accept
6382feb6-79d9-43e4-92fd-5609c30ef481,0.9543291426435438,auto-accept,"{valid, uncertain}",review
66812208-efc9-4703-a55e-eab19c58a3b5,0.991752375419483,auto-accept,{valid},auto-accept
675aec61-780e-4cb1-a1db-adaa50defee4,0.6432614808918798,merge-or-review,"{stale, uncertain}",low-confidence
6fbda6ad-99c5-429e-9db4-3811e8311c18,0.9864743337743945,auto-accept,{valid},auto-accept
704f251b-4db7-44bd-8da1-201a78b4cb17,0.991752375419483,auto-accept,{valid},auto-accept
72d8005b-81e9-4331-ad91-2552ac1aac50,0.9640685077330734,auto-accept,{valid},auto-accept
736416dc-e905-41fe-9556-62d1fe2694db,0.991752375419483,auto-accept,{valid},auto-accept
7788feca-a218-4eab-85aa-51476de90e79,0.991752375419483,auto-accept,{valid},auto-accept
788a47ec-36ae-43ba-afb0-ae07df9b1579,0.991752375419483,auto-accept,{valid},auto-accept
797acc17-b7ca-4461-bb07-86331e4a56f2,0.991752375419483,auto-accept,{valid},auto-accept
7ab574db-80af-40d5-8b20-2b0a7dfafba1,0.9543291426435438,auto-accept,"{valid, uncertain}",review
7b664acd-844f-46f3-b1f7-444ae5caf8b1,0.4724150943513041,quarantine-or-verify,"{stale, uncertain}",low-confidence
7dbdbeca-0f56-467b-a822-77c30af1fff1,0.4599728935661872,quarantine-or-verify,"{stale, uncertain}",low-confidence
8047a7a4-85b5-43cb-ba06-4f0fd8b8d778,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
80cad090-de93-423d-bcfa-8665ac1ac2a0,0.9543291426435438,auto-accept,"{valid, uncertain}",review
83361eb2-2897-4850-a437-44957e13c21b,0.9268682095991725,auto-accept,"{valid, uncertain}",review
8a689d8e-1b7d-4fe4-8ccf-9f040bdae319,0.9543291426435438,auto-accept,"{valid, uncertain}",review
8b1f6969-a3ce-492a-b855-2c04199f2e5c,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
8df9ef6c-9ee6-41e9-a7c0-b52f45290f06,0.7482966399430525,merge-or-review,"{stale, uncertain}",low-confidence
8e687a2c-4a9f-4fb8-a5f9-2cb78043c1fa,0.9543291426435438,auto-accept,"{valid, uncertain}",review
9a7c8cd7-5c16-427e-8e14-2a5c4efa1231,0.9268682095991725,auto-accept,"{valid, uncertain}",review
